Month,MineLog,Constrct,ManFact,Trad tranutil,Info,Finnc,Prof_Busn,Educ_Hlth,Leishospt,Os,Gov
71,1.6,2.1,1.7,2.7,1.8,1.9,2.9,1.7,4.5,2,0.7
72,1.7,2.2,1.7,2.5,1.6,1.8,3,1.8,4.6,1.7,0.7
73,1.6,2,1.6,2.4,1.5,2,2.9,1.7,4.4,2.2,0.8
74,1.8,1.9,1.5,2.6,1.5,1.8,2.9,1.8,4.4,2,0.7
75,1.9,2,1.5,2.5,1.7,2,3,1.6,4.5,2.1,0.8
76,1.8,2,1.5,2.4,1.8,1.9,2.7,1.7,4.6,1.8,0.8
77,2.6,2.1,1.5,2.5,1.4,2,3.1,1.8,4.1,2.1,0.8
78,2.1,1.9,1.4,2.5,1.6,1.6,2.7,1.6,4.7,1.9,0.7
79,2.1,2.9,1.3,2.3,1,1.6,2.9,1.7,4.7,2.1,0.8
80,2.2,2.3,1.5,2.4,1.5,2,3.2,1.7,4.5,2,0.8
81,2.7,2.1,1.4,2.4,1.4,1.7,2.8,1.5,3.3,2.2,0.7
82,1.7,2.2,1.5,2.5,1.3,1.7,2.8,1.6,4.6,2.2,0.7
83,1.9,2.1,1.4,2.2,1.5,1.6,2.8,1.7,4.4,1.8,0.7
84,1.8,1.9,1.5,2.5,1.5,1.4,2.4,1.5,4.4,2.3,0.7
85,2.3,1.9,1.4,2.4,1.6,2,2.5,1.7,4.3,2,0.7
86,2,2.1,1.4,2.3,1.6,1.9,3.2,1.6,4.1,1.9,0.7
87,1.7,1.7,1.4,2.2,1.2,1.6,2.6,1.7,4.1,1.9,0.6
88,1.9,2.2,1.4,2.4,1.3,1.6,2.9,1.8,4.1,2.1,0.7
89,2,1.8,1.2,2.3,1.2,1.5,2.5,1.4,4.3,2.1,0.6
90,2.3,1.9,1.2,2.1,1.1,1.4,2.8,1.5,4.1,2.1,0.6
91,1.6,2.7,1,2.1,1.1,1.2,2.4,1.5,3.9,1.7,0.6
92,1.8,2.3,1,2.2,1.3,1.2,2.2,1.5,3.7,1.8,0.7
93,1.9,1.7,1.1,2.2,1,1.5,2.4,1.5,3.9,1.8,0.6
94,2.8,1.6,1.1,2,1.2,1.3,2.3,1.5,3.7,1.6,0.6
95,1.8,1.5,0.9,1.9,1,1.3,2.3,1.3,3.4,1.5,0.5
96,1.9,1.4,0.8,2,1,0.9,2,1.3,3.2,1.9,0.6
97,1.6,1.3,0.9,1.8,1.1,0.9,2,1.3,3.1,1.6,0.5
98,1.4,1.5,0.8,1.6,1,1,1.8,1.3,3.2,2.7,0.5
99,1.5,1.5,0.7,1.7,1.3,1,1.7,1.2,2.9,1.5,0.5
100,1.2,1,0.6,1.5,1.2,0.9,1.7,1.2,2.8,1.9,0.5
101,0.9,1.3,0.7,1.4,1.4,0.8,1.8,1.2,2.6,1.4,0.5
102,0.9,1.3,0.7,1.5,1.1,0.7,1.7,1.3,2.7,1.5,0.4
103,0.6,1.1,0.8,1.6,1.2,0.9,1.6,1.2,2.6,1.4,0.5
104,0.9,0.7,0.7,1.4,1,0.8,1.5,1.2,2.6,1.1,0.4
105,0.7,1.3,0.8,1.5,0.9,0.8,1.6,1.3,2.3,1.6,0.4
106,1,1.1,0.7,1.5,0.9,1,1.6,1.3,2.5,1.4,0.4
107,1,1.6,0.6,1.7,1.5,1,1.7,1.3,2.9,1.7,0.5
108,0.9,1.5,0.6,1.6,1,1.1,1.8,1.3,2.9,1.2,0.5
109,1.2,1.8,0.7,1.4,0.5,1.1,2,1.2,2.9,1.3,0.5
110,1.1,1.5,0.9,1.7,1,1.1,1.9,1.2,2.9,1.3,0.5
111,1.1,1.5,0.8,1.7,1.7,1,2.1,1.2,2.8,1.6,0.5
112,1.1,1.1,0.8,1.8,0.9,1.2,2.1,1.4,2.8,1.5,0.5
113,1,1.1,0.7,1.7,0.8,1.1,2,1.2,2.7,1.9,0.4
114,1.1,1.1,0.8,1.7,1,1.4,2.2,1.3,2.5,1.7,0.6
115,1.1,1.3,0.7,1.7,1,1.1,1.9,1.2,2.6,1.3,0.5
116,1,1.4,0.9,1.6,0.9,1,2.3,1.2,2.6,1.4,0.5
117,0.9,1.5,0.8,1.7,1.1,1.2,2.2,1.2,2.7,1.4,0.6
118,0.9,1.5,0.9,1.6,1.4,0.9,2.1,1.2,2.8,1.5,0.5
119,1.2,1.3,0.8,1.7,1.6,1,2.1,1.3,2.8,1.6,0.5
120,1.3,1.6,0.9,1.6,1.5,1.3,2.3,1.2,2.9,1.8,0.5
121,0.9,1.3,0.9,1.5,1,1.1,2.2,1.1,2.9,1.6,0.6
122,1.8,1.3,0.8,1.8,1.2,1,2.4,1.2,2.8,1.8,0.5
123,1.1,1.5,1,1.8,1.2,1.2,2.6,1.3,2.9,1.4,0.5
124,1,1.7,0.9,1.6,1.5,1,2.1,1.2,2.8,1.2,0.5
125,1.3,1.5,0.9,1.8,1.3,1,2.1,1.3,2.8,1.5,0.6
126,1.4,1.4,0.9,1.7,1.2,1.2,2.1,1.2,2.9,1.2,0.5
127,1.5,1.3,0.9,1.7,1.2,1.4,2.4,1.2,2.8,1.6,0.6
128,1.6,1.2,0.9,1.8,1.5,0.9,2.3,1.4,3.1,1.6,0.6
129,1.7,1.5,0.8,1.8,1.4,0.9,2.5,1.2,3,1.7,0.5
130,1.8,1.5,0.9,1.8,1.2,1.1,2.5,1.2,2.5,1.8,0.5
131,1.4,2.1,1,1.6,1.4,1.1,2.5,1.2,2.8,1.7,0.6
132,1.7,1.5,0.9,1.8,1.4,1.1,1.8,1.3,3,1.5,0.7
133,2,1.4,0.9,1.6,1.4,1.1,2.3,1.3,3,1.6,0.6
134,1.8,1.4,0.9,1.8,1.3,1.1,2.3,1.5,3,1.6,0.6
135,1.7,1.6,0.9,1.8,1.3,1.1,2.3,1.4,3.2,1.8,0.6
136,2,1.3,0.9,1.8,1.1,1.4,2.1,1.4,3.2,1.7,0.6
137,1.8,1.4,0.9,1.8,1.4,1,2.3,1.4,3.2,1.6,0.6
138,1.6,1.6,0.9,1.9,1.5,1.2,2,1.3,3.3,1.9,0.6
139,2.1,1.4,0.9,1.9,1.1,1.1,1.9,1.3,3.1,1.8,0.6
140,1.9,1.2,0.9,1.9,1.5,1.1,1.9,1.4,2.8,2.3,0.6
141,1.8,1.3,0.9,1.7,1.4,1.3,1.9,1.2,2.8,1.3,0.5
142,2.8,1.8,0.9,1.9,1.4,1.2,1.8,1.3,3,1.4,0.6
143,1.6,1.8,0.9,1.7,1.3,1.2,2,1.4,3,1.6,0.6
144,1.6,1.3,0.9,1.7,1.5,0.9,2.1,1.3,3,1.7,0.6
145,1.4,2.3,0.8,2.1,1.5,1.2,1.9,1.5,3.3,1.9,0.6
146,1.5,1.8,0.9,1.9,1.2,1.5,2.1,1.4,3.4,2.3,0.6
147,1.9,1.6,0.8,1.8,1.1,1.2,2.1,1.4,3.2,1.7,0.6
148,1.6,1.6,1,1.9,1.6,1.2,2.4,1.4,3.2,1.5,0.7
149,1.6,1.6,1,1.8,1.3,1.4,2.4,1.4,3.1,1.8,0.6
150,2,1.7,0.9,1.8,1.5,1.3,2.5,1.4,3,1.3,0.6
151,1.6,1.8,1,1.8,1.3,1.3,2.8,1.5,3.2,1.7,0.6
152,1.3,1.6,0.9,2.1,2,1.4,2.5,1.4,3,1.8,0.6
153,1.3,1.6,1,2.1,1.2,1.3,2.3,1.5,3.1,1.9,0.6
154,1.3,1.6,0.9,2,0.7,1.1,2.4,1.5,3.6,1.8,0.6
155,1.4,1.3,1,2.1,1.3,1.2,2.6,1.4,3.3,1.9,0.6
156,2,1.3,0.9,1.8,1.2,1,2.5,1.5,3.2,1.9,0.6
157,1.4,1.6,0.9,2.1,1.2,0.9,2.4,1.4,3.2,1.8,0.6
158,1.8,1.6,0.9,2.1,1.3,1.1,2.3,1.5,3.6,1.9,0.6
159,1.8,1.5,1,2.1,1.4,1.2,2.7,1.3,3.4,1.7,0.6
160,2,1.7,0.9,2.2,1.4,1,2.5,1.5,3.5,1.9,0.6
161,1.7,2,1,2.3,1.4,1.1,2.4,1.5,3.1,2,0.6
162,1.7,1.9,0.9,2.2,1.4,1,2.6,1.5,3.5,1.7,0.5
163,1.6,1.8,1.1,2.3,1.5,1.5,2.6,1.6,3.5,1.8,0.6
164,1.6,2,0.9,2.1,1.3,1.4,2.6,1.4,3.7,1.8,0.7
165,1.6,1.7,1.1,2.2,1.2,1.3,2.9,1.6,3.7,2.4,0.7
166,1.8,1.7,1.1,2.3,1.5,1.3,2.7,1.7,4,1.9,0.7
167,1.8,1.5,0.9,2.3,1.4,1.6,2.4,1.6,3.8,1.9,0.6
168,1.5,1.9,1.1,2.3,1.3,1.3,2.1,1.5,3.7,1.8,0.6
169,1.5,1.7,1.2,2.3,1.4,1.4,2.8,1.7,3.9,1.7,0.6
170,1.4,1.7,1,2.1,1.7,1.3,2.9,1.8,3.6,2.6,0.7
171,1.6,1.8,1,2.3,1.7,1.1,2.8,1.6,3.8,2.1,0.7
172,1.6,1.9,1.1,2.3,1.4,1.4,2.6,1.6,3.6,2,0.7
173,2.3,1.8,1,2.3,1.5,1.3,2.8,1.7,3.5,2,0.7
174,1.7,1.7,1.1,2.3,1.5,1.2,2.6,1.6,4,2,0.7
175,1.9,1.7,1,2.3,1.6,1.1,2.6,1.7,4,2,0.7
176,2,1.5,1.1,2.3,1.4,0.9,2.8,1.8,4.3,2.1,0.7
177,1.9,1.8,1.2,2.4,1.5,1.1,2.6,1.6,4,1.9,0.7
178,1.9,1.5,1.1,2.3,1.5,1.4,2.7,1.7,3.9,1.9,0.8
179,2.1,1.9,1.1,2.4,1.5,1.1,2.8,1.9,4,2,0.7
180,2,1.9,1.1,2.5,1.4,1.7,2.9,1.8,4.2,2.3,0.8
181,2.8,1.4,1.2,2.4,1.5,1.3,2.9,1.5,4,2,0.7
182,1.8,1.6,1.2,2.4,1.3,1.7,3,1.7,4.2,2,0.7
183,2,2.1,1.2,2.4,1.3,1.2,2.7,1.7,4.1,2.1,0.7
184,1.7,1.7,1.1,2.4,1.6,1.2,2.9,1.7,4.2,1.9,0.7
185,1.8,1.8,1.1,2.2,1.2,1.3,3.4,1.7,4.3,1.7,0.7
186,2.2,1.8,1.1,2.4,1.4,1.4,2.7,1.8,4.2,2.4,1
187,1.6,1.9,1.2,2.3,1.3,1.2,3.1,1.8,4.2,1.7,0.7
188,2,2.2,1.2,2.4,1.3,1,3,1.7,4.1,1.6,0.8
189,2.2,1.6,1.2,2.5,1.7,1.1,3.1,1.8,4.3,1.7,0.8
190,2,1.9,1.3,2.4,1.4,1.2,3,1.7,4.4,2,0.8
191,2.1,2.2,1.3,2.4,1.3,1.1,2.9,1.6,4.3,1.9,0.7
192,1.9,2,1.3,2.2,1.8,1.1,3,1.7,4.2,2,0.7
193,1.9,2.2,1.4,2.4,1.3,1.5,3.1,1.9,4.1,2.1,0.8
194,2,2.3,1.4,2.5,2,1.2,2.8,1.7,4,2.2,0.8
195,1.9,2.4,1.5,2.5,1.4,1.3,2.9,1.8,4.1,1.9,0.8
196,1.3,2.3,1.5,2.2,1.3,1.3,2.8,1.8,4.1,2.1,0.7
197,2.1,2.2,1.7,2.4,1,1.5,2.9,1.8,4.1,2.1,0.7
198,2.2,2,1.6,2.4,1.3,1.3,3,1.9,4.1,2.4,0.7
199,2.5,2.1,1.6,2.4,1.8,1.3,2.9,1.7,3.8,2.4,0.7
